 -----, ------, ------, -------, ------ 
Time, X, Y, Z, A 
11.559, -0.042, 4.904, -0.394, 1001.9 
11.594, -0.043, 4.904, -0.386, 1001.84 
11.629, -0.035, 4.905, -0.384, 1002.0 
11.664, -0.031, 4.892, -0.39, 1001.74 
11.699, -0.031, 4.898, -0.388, 1001.76 
11.733, -0.03, 4.902, -0.384, 1001.88 
11.767, -0.033, 4.908, -0.398, 1001.93 
11.802, -0.032, 4.901, -0.39, 1001.84 
11.836, -0.039, 4.899, -0.39, 1001.78 
11.871, -0.043, 4.897, -0.392, 1001.84 
11.91, -0.041, 4.902, -0.377, 1001.91 
11.944, -0.033, 4.895, -0.389, 1002.06 
11.979, -0.029, 4.906, -0.394, 1001.85 
12.013, -0.029, 4.898, -0.39, 1001.82 
12.047, -0.037, 4.899, -0.391, 1001.96 
12.081, -0.03, 4.902, -0.389, 1001.89 
12.117, -0.032, 4.893, -0.389, 1002.01 
12.151, -0.035, 4.903, -0.39, 1001.7 
12.186, -0.038, 4.897, -0.385, 1002.0 
12.22, -0.032, 4.902, -0.389, 1001.98 
12.254, -0.031, 4.899, -0.388, 1001.92 
12.289, -0.032, 4.899, -0.39, 1001.88 
12.324, -0.043, 4.897, -0.385, 1002.09 
12.359, -0.03, 4.901, -0.386, 1001.85 
12.393, -0.031, 4.893, -0.391, 1001.65 
12.427, -0.024, 4.897, -0.389, 1001.89 
12.462, -0.035, 4.922, -0.386, 1001.75 
12.496, -0.033, 4.917, -0.384, 1002.06 
12.531, -0.033, 4.911, -0.395, 1001.9 
12.565, -0.031, 4.904, -0.389, 1001.96 
12.599, -0.035, 4.906, -0.398, 1001.76 
12.634, -0.038, 4.867, -0.38, 1001.95 
12.669, -0.035, 4.893, -0.389, 1001.96 
12.704, -0.035, 4.915, -0.402, 1001.71 
12.739, -0.035, 4.904, -0.386, 1001.54 
12.773, -0.026, 4.906, -0.392, 1001.79 
12.807, -0.028, 4.903, -0.385, 1002.06 
12.842, -0.035, 4.901, -0.384, 1001.84 
12.876, -0.036, 4.899, -0.395, 1001.91 
12.911, -0.033, 4.903, -0.391, 1002.03 
12.946, -0.039, 4.911, -0.394, 1001.96 
12.98, -0.042, 4.899, -0.382, 1001.62 
13.019, -0.035, 4.889, -0.389, 1001.86 
13.053, -0.03, 4.899, -0.392, 1001.86 
13.087, -0.031, 4.896, -0.39, 1001.84 
13.122, -0.033, 4.902, -0.385, 1001.89 
13.157, -0.033, 4.893, -0.397, 1001.95 
13.192, -0.038, 4.893, -0.38, 1001.78 
13.226, -0.044, 4.896, -0.39, 1002.04 
13.26, -0.033, 4.896, -0.385, 1001.93 
13.295, -0.026, 4.901, -0.38, 1001.9 
13.33, -0.025, 4.914, -0.408, 1001.87 
13.364, -0.037, 4.901, -0.388, 1001.9 
13.399, -0.037, 4.892, -0.386, 1001.73 
13.433, -0.042, 4.898, -0.365, 1001.68 
13.467, -0.044, 4.905, -0.394, 1002.08 
13.502, -0.033, 4.897, -0.382, 1001.94 
13.537, -0.028, 4.909, -0.391, 1001.79 
13.572, -0.031, 4.896, -0.388, 1001.89 
13.606, -0.039, 4.906, -0.385, 1001.91 
13.639, -0.033, 4.904, -0.389, 1001.89 
13.674, -0.036, 4.901, -0.396, 1002.0 
13.707, -0.038, 4.887, -0.394, 1001.85 
13.743, -0.037, 4.911, -0.395, 1001.85 
13.777, -0.032, 4.928, -0.396, 1001.86 
13.811, -0.041, 4.909, -0.384, 1001.96 
13.846, -0.028, 4.898, -0.39, 1002.1 
13.88, -0.03, 4.901, -0.389, 1001.76 
13.914, -0.045, 4.895, -0.396, 1001.86 
13.95, -0.037, 4.906, -0.38, 1002.16 
13.984, -0.023, 4.895, -0.385, 1001.86 
14.018, -0.03, 4.902, -0.385, 1002.07 
14.053, -0.037, 4.902, -0.392, 1001.92 
14.08, -0.031, 4.912, -0.392, 1002.0 
14.116, -0.038, 4.899, -0.428, 1001.82 
14.15, -0.042, 4.897, -0.37, 1001.96 
14.185, -0.049, 4.902, -0.394, 1001.82 
14.219, -0.032, 4.886, -0.38, 1002.01 
14.253, -0.031, 4.902, -0.394, 1001.94 
14.289, -0.031, 4.903, -0.403, 1001.96 
14.323, -0.035, 4.898, -0.398, 1001.84 
14.357, -0.032, 4.899, -0.391, 1001.91 
14.392, -0.037, 4.902, -0.39, 1001.97 
14.426, -0.041, 4.905, -0.379, 1001.93 
14.461, -0.038, 4.901, -0.394, 1001.88 
14.496, -0.026, 4.903, -0.385, 1001.81 
14.53, -0.023, 4.896, -0.385, 1001.83 
14.565, -0.03, 4.904, -0.386, 1002.04 
14.599, -0.037, 4.899, -0.376, 1001.84 
14.633, -0.032, 4.903, -0.392, 1001.83 
14.668, -0.042, 4.903, -0.383, 1001.91 
14.704, -0.039, 4.893, -0.384, 1002.0 
14.738, -0.037, 4.898, -0.386, 1002.0 
14.772, -0.038, 4.899, -0.38, 1001.86 
14.807, -0.035, 4.895, -0.382, 1001.86 
14.841, -0.03, 4.904, -0.384, 1001.96 
14.875, -0.025, 4.89, -0.385, 1001.87 
14.911, -0.031, 4.903, -0.403, 1001.91 
14.945, -0.039, 4.899, -0.397, 1002.05 
14.98, -0.044, 4.901, -0.383, 1001.74 
15.014, -0.042, 4.897, -0.392, 1001.8 
15.048, -0.035, 4.892, -0.389, 1001.84 
15.083, -0.02, 4.895, -0.388, 1001.81 
15.118, -0.032, 4.911, -0.409, 1001.91 
15.156, -0.045, 4.898, -0.408, 1001.8 
15.191, -0.043, 4.899, -0.391, 1001.75 
15.226, -0.042, 4.901, -0.421, 1001.81 
15.26, -0.036, 4.86, -0.377, 1001.94 
15.294, -0.045, 5.026, -0.339, 1001.78 
15.33, -0.028, 4.952, -0.403, 1001.85 
15.364, -0.033, 4.911, -0.41, 1001.9 
15.398, -0.03, 4.887, -0.394, 1001.96 
